video_id,metric,human_label,model_label,model_score,model_raw,human_range,raw_distance,bucket_distance,total_buckets,match_status,interpretation,notes
11,body_sway,optimal,optimal,57,0.9411,"[0.55, 1.0]",0.0,0,5,exact_match,"Natural controlled movement (Good). Natural, relaxed posture.",
11,gaze_stability,good,weak,54,0.1759,"[0.08, 0.15]",0.0259,1,4,off_by_1,Slightly unstable gaze (Weak). Occasional scanning.,
11,gesture_activity,optimal,optimal,50,4.5185,"[2.0, 5.0]",0.0,0,5,exact_match,"Optimal gesture pace (Excellent). Dynamic, fluid movement.",
11,gesture_magnitude,high,optimal,68,2.9154,"[3.0, 3.5]",0.0846,1,5,off_by_1,"High gesture dynamics (Excellent). Confident, expansive gestures.",
11,gesture_stability,optimal,high,40,13.4557,[< 5.0],8.4557,2,4,off_by_2,Mild instability (Weak). Occasional shaking.,
11,head_down_ratio,forward,mostly_down,13,0.6008,[< 0.1],0.5008,3,4,off_by_3,Head mostly facing down. Avoids audience.,
11,head_stability,stable,optimal,88,1.5695,"[0.6, 1.0]",0.5695,1,5,off_by_1,Natural head engagement (Excellent). Good nodding and tilting.,
11,pause_ratio,optimal,no_pauses,45,0.0,"[0.04, 0.08]",0.04,2,6,off_by_2,Machine-gun delivery. No breathing room.,
11,pitch_dynamic,expressive,neutral,100,3.573,"[5.0, 7.5]",1.427,1,4,off_by_1,"Reserved and controlled, but lacks emotion.",
11,posture_openness,open,open,100,2.9154,[> 0.7],0.0,0,3,exact_match,"Open, expressive posture (Excellent). Good use of gestures.",
11,smile_activation,expressive,expressive,34,0.8222,[> 0.8],0.0,0,4,exact_match,"Very high smile (Good). Highly radiant, possibly over-expressive.",
11,speech_rate,optimal,optimal,100,139.9198,"[120, 170]",0.0,0,6,exact_match,Optimal pace. Easy to follow and engaging.,
11,vocal_punch,optimal,muffled,2,12.9122,"[17.0, 21.0]",4.0878,2,5,off_by_2,Muffled/Flat (Weak). Lacks energy and attack.,
11,volume_dynamic,expressive,optimal,43,0.7505,"[0.8, 1.2]",0.0495,1,5,off_by_1,Dynamic delivery. Good emotional texture.,
16,body_sway,optimal,optimal,57,0.9265,"[0.55, 1.0]",0.0,0,5,exact_match,"Natural controlled movement (Good). Natural, relaxed posture.",
